Column Name,Description,Data Type,Allowed Values,Data Coding
cz_H3a,Colonoscopy regular care health,Categorical,1,1=Yes
cz_H3b,Colonoscopy regular early diagnose,Categorical,1,1=Yes
cz_H3c,Colonoscopy regular no thought,Categorical,1,1=Yes
cz_H3d,Colonoscopy regular doctor recommended,Categorical,1,1=Yes
cz_H3e,Colonoscopy regular family history,Categorical,1,1=Yes
cz_H3f,Colonoscopy regular health insurance,Categorical,1,1=Yes
cz_H3g,Colonoscopy regular symptoms,Categorical,1,1=Yes
cz_H3h,Colonoscopy regular other,Categorical,1,1=Yes
cz_H3i,Colonoscopy regular don't know,Categorical,1,1=Yes
cz_H4a,Colonoscopy not regular no symptoms,Categorical,1,1=Yes
cz_H4b,Colonoscopy not regular fear examination,Categorical,1,1=Yes
cz_H4c,Colonoscopy not regular fear diagnosis,Categorical,1,1=Yes
cz_H4d,Colonoscopy not regular fear side effects,Categorical,1,1=Yes
cz_H4e,Colonoscopy not regular unknown possibility,Categorical,1,1=Yes
cz_H4f,Colonoscopy not regular poor access,Categorical,1,1=Yes
cz_H4g,Colonoscopy not regular distrust,Categorical,1,1=Yes
cz_H4h,Colonoscopy not regular other,Categorical,1,1=Yes
cz_H4i,Colonoscopy not regular don't know,Categorical,1,1=Yes
cz_H5,Mammography screening last,Categorical,"1, 2, 3, 4, 5, 6, 7",1=In the last 12 months; 2=In the last 1 to 2 years; 3=In the last 2 to 3 years; 4=3 or more years ago; 5=Never; 6=I don't know; 7=Not suitable
cz_H6,Mammography screening regularly,Categorical,"1, 2, 3, 4, 5, 6","1=Regularly, every 2 years; 2=Regularly, every 3 years; 3=I attend irregularly; 4=Never; 5=I don't know; 6=Not suitable"
cz_H7,Cervical cancer screening last,Categorical,"1, 2, 3, 4, 5, 6, 7",1=In the last 12 months; 2=In the last 1 to 2 years; 3=In the last 2 to 3 years; 4=3 or more years ago; 5=Never; 6=I don't know; 7=Not suitable
cz_H8,Cervical cancer screening regularly,Categorical,"1, 2, 3, 4, 5, 6","1=Regularly, every year; 2=Regularly, every two years; 3=I attend regularly; 4=Never; 5=I don't know; 6=Not suitable"
cz_H9a,Cancer screening regular care health,Categorical,1,1=Yes
cz_H9b,Cancer screening regular early diagnose,Categorical,1,1=Yes
cz_H9c,Cancer screening regular no thought,Categorical,1,1=Yes
cz_H9d,Cancer screening regular doctor recommended,Categorical,1,1=Yes
cz_H9e,Cancer screening regular family history,Categorical,1,1=Yes
cz_H9f,Cancer screening regular health insurance,Categorical,1,1=Yes
cz_H9g,Cancer screening regular symptoms,Categorical,1,1=Yes
cz_H9h,Cancer screening regular other,Categorical,1,1=Yes
cz_H9i,Cancer screening regular don't know,Categorical,1,1=Yes
cz_H10a,Cancer screening not regular no symptoms,Categorical,1,1=Yes
cz_H10b,Cancer screening not regular fear examination,Categorical,1,1=Yes
cz_H10c,Cancer screening not regular fear diagnosis,Categorical,1,1=Yes
cz_H10d,Cancer screening not regular fear side effects,Categorical,1,1=Yes
cz_H10e,Cancer screening not regular unknown possibility,Categorical,1,1=Yes
cz_H10f,Cancer screening not regular poor access,Categorical,1,1=Yes
cz_H10g,Cancer screening not regular distrust,Categorical,1,1=Yes
cz_H10h,Cancer screening not regular other,Categorical,1,1=Yes
cz_H10i,Cancer screening not regular don't know,Categorical,1,1=Yes
de_q1,Importance of surveys for society,Categorical,"-99, -5, -1, 1, 5",-99=Did not participate; -5=Not answered; -1=Donâ€™t know; 1=Totally agree; 5=Totally disagree
de_q2,Surveys are wasted time,Categorical,"-99, -5, -1, 1, 5",-99=Did not participate; -5=Not answered; -1=Donâ€™t know; 1=Totally agree; 5=Totally disagree
de_q3,Answering many questions is exhausting,Categorical,"-99, -5, -1, 1, 5",-99=Did not participate; -5=Not answered; -1=Donâ€™t know; 1=Totally agree; 5=Totally disagree
de_q4,Results of surveys are mostly trustworthy,Categorical,"-99, -5, -1, 1, 5",-99=Did not participate; -5=Not answered; -1=Donâ€™t know; 1=Totally agree; 5=Totally disagree
de_q5,Importance of knowing the institution,Categorical,"-99, -5, -1, 1, 5",-99=Did not participate; -5=Not answered; -1=Donâ€™t know; 1=Very important; 5=Not important at all
de_q6,Confidence in scientific institutions,Categorical,"-99, -5, -1, 1, 5",-99=Did not participate; -5=Not answered; -1=Donâ€™t know; 1=Complete confidence; 5=Complete suspiciousness
de_q7,Confidence in opinion research institutions,Categorical,"-99, -5, -1, 1, 5",-99=Did not participate; -5=Not answered; -1=Donâ€™t know; 1=Complete confidence; 5=Complete suspiciousness
de_q8,Confidence in authorities,Categorical,"-99, -5, -1, 1, 5",-99=Did not participate; -5=Not answered; -1=Donâ€™t know; 1=Complete confidence; 5=Complete suspiciousness
de_q9,Concern: privacy,Categorical,"-99, -5, -1, 1, 5",-99=Did not participate; -5=Not answered; -1=Donâ€™t know; 1=Very concerned; 5=Not concerned at all
de_q10,Concern: data theft or abuse,Categorical,"-99, -5, -1, 1, 5",-99=Did not participate; -5=Not answered; -1=Donâ€™t know; 1=Very concerned; 5=Not concerned at all
de_q11,Concern of others: sharing too much info,Categorical,"-99, -5, -1, 1, 5",-99=Did not participate; -5=Not answered; -1=Donâ€™t know; 1=Very concerned; 5=Not concerned at all
de_q12,Trust in other people,Categorical,"-99, -5, -1, 1, 5",-99=Did not participate; -5=Not answered; -1=Don't know; 1=Most of the people are trustworty; 5=One can never be careful enough
de_q13,Embarassed to share income,Categorical,"-99, -5, -1, 1, 5",-99=Did not participate; -5=Not answered; -1=Donâ€™t know; 1=Totally agree; 5=Totally disagree
de_q14,Should not talk about income,Categorical,"-99, -5, -1, 1, 5",-99=Did not participate; -5=Not answered; -1=Donâ€™t know; 1=Totally agree; 5=Totally disagree
de_q15,Response to future income question,Categorical,"-99, -5, 1, 2, 3, 4, 5","-99=Invalid; -5=Not answered; 1=Would give estimate; 2=Don't know: change in living conditions; 3=Don't know: varies strongly; 4=Don't know: other reasons (open); 5=Know, but don't want to specify"
de_q16,Much to learn from SHARE,Categorical,"-99, -5, -1, 1, 5",-99=Did not participate; -5=Not answered; -1=Donâ€™t know; 1=Totally agree; 5=Totally disagree
de_q17,SHARE questions: too personal,Categorical,"-99, -5, -1, 1, 5",-99=Did not participate; -5=Not answered; -1=Donâ€™t know; 1=Totally agree; 5=Totally disagree
de_q18,SHARE questions: too boring,Categorical,"-99, -5, -1, 1, 5",-99=Did not participate; -5=Not answered; -1=Donâ€™t know; 1=Totally agree; 5=Totally disagree
de_q19,SHARE questions: made me reflect,Categorical,"-99, -5, -1, 1, 5",-99=Did not participate; -5=Not answered; -1=Donâ€™t know; 1=Totally agree; 5=Totally disagree
de_q20,Liked participating in SHARE,Categorical,"-99, -5, -1, 1, 5",-99=Did not participate; -5=Not answered; -1=Donâ€™t know; 1=Totally agree; 5=Totally disagree
de_q21,Reasons for liking/disliking interview,Categorical,"-99, -5, -1, 1, 2",-99=Did not participate; -5=Not answered; -1=Donâ€™t know; 1=Mentioned; 2=Not mentioned
de_q22,Concern: SHARE data leak,Categorical,"-99, -5, -1, 1, 5",-99=Did not participate; -5=Not answered; -1=Donâ€™t know; 1=Very concerned; 5=Not concerned at all
de_q23,Concern: receive adverts due to SHARE,Categorical,"-99, -5, -1, 1, 5",-99=Did not participate; -5=Not answered; -1=Donâ€™t know; 1=Very concerned; 5=Not concerned at all
de_q24,Concern of others: participation in SHARE,Categorical,"-99, -5, -1, 1, 5",-99=Did not participate; -5=Not answered; -1=Donâ€™t know; 1=Very concerned; 5=Not concerned at all
de_q25,Importance: Questions about health status,Categorical,"-99, -5, -1, 1, 5",-99=Did not participate; -5=Not answered; -1=Donâ€™t know; 1=Very important; 5=Not important at all
de_q26,Importance: Questions about income,Categorical,"-99, -5, -1, 1, 5",-99=Did not participate; -5=Not answered; -1=Donâ€™t know; 1=Very important; 5=Not important at all
de_q27,Importance: Questions about social contacts,Categorical,"-99, -5, -1, 1, 5",-99=Did not participate; -5=Not answered; -1=Donâ€™t know; 1=Very important; 5=Not important at all
de_q28,Importance: Questions about hobbies,Categorical,"-99, -5, -1, 1, 5",-99=Did not participate; -5=Not answered; -1=Donâ€™t know; 1=Very important; 5=Not important at all
de_q29,Expectations on life changes,Categorical,"-99, -5, -1, 1, 5",-99=Did not participate; -5=Not answered; -1=Donâ€™t know; 1=Big change; 5=Stays the same
de_q31,Further comments,Categorical,"-99, -5, -1, 1, 2",-99=Did not participate; -5=Not answered; -1=Donâ€™t know; 1=Mentioned; 2=Not mentioned
de_mode,Mode,Categorical,"-99, -9, -5, 1, 2",-99=Did not participate; -9=Invalid; -5=Not answered; 1=Questionnaire filled out directly; 2=Respondent kept questionnaire
ee_K12,Knowledge of Estonian language,Categorical,"1, 2, 3, 4",1=speak and write; 2=can talk in everyday communication; 3=can understand everyday communication; 4=do not know Estonian
ee_b01,Mild cognitive impairment or dementia diagnoses or experiencing symptoms,Categorical,"1, 2, 3, 4, 98, 99","1=Yes, mild cognitive impairment has been diagnosed; 2=Yes, dementia has been diagnosed; 3=Yes, there are noticed symptoms of mild cognitive impairment or dementia but no formal diagnoses; 4=No; 98=Refusal; 99=Don't know"
ee_b02,Receiving of help for mild cognitive impairment or dementia,Categorical,"1, 2, 98, 99",1=Yes; 2=No; 98=Refusal; 99=Don't know
ee_b03_1,Who helped: social worker,Categorical,"0, 1",0=Not marked; 1=Marked
ee_b03_2,Who helped: support group,Categorical,"0, 1",0=Not marked; 1=Marked
ee_b03_3,Who helped: Memory Cafe,Categorical,"0, 1",0=Not marked; 1=Marked
ee_b03_4,Who helped: dementia information and trust line,Categorical,"0, 1",0=Not marked; 1=Marked
ee_b03_5,Who helped: personal counseling service,Categorical,"0, 1",0=Not marked; 1=Marked
ee_b03_6,"Who helped: family doctor, family nurse or a specialised doctor",Categorical,"0, 1",0=Not marked; 1=Marked
ee_b03_7,Who helped: books or leaflets,Categorical,"0, 1",0=Not marked; 1=Marked
ee_b03_8,Who helped: internet,Categorical,"0, 1",0=Not marked; 1=Marked
ee_b03_91,Who helped: day care service,Categorical,"0, 1",0=Not marked; 1=Marked
ee_b03_92,Who helped: support person service for a relative,Categorical,"0, 1",0=Not marked; 1=Marked
ee_b03_93,Who helped: support person service for a person with mild cognitive impairment,Categorical,"0, 1",0=Not marked; 1=Marked
ee_b03_94,Who helped: home service,Categorical,"0, 1",0=Not marked; 1=Marked
ee_b03_95,Who helped: interval care,Categorical,"0, 1",0=Not marked; 1=Marked
ee_b03_10,Who helped: family members or friends: experience counseling,Categorical,"0, 1",0=Not marked; 1=Marked
ee_b03_11,Who helped: family members or friends: help with activities,Categorical,"0, 1",0=Not marked; 1=Marked
ee_b03_12,Who helped: nursing home or receives inpatient nursing care,Categorical,"0, 1",0=Not marked; 1=Marked
ee_b03_13,"Other medication, specify",Categorical,"0, 1",0=Not marked; 1=Marked
ee_b03_14,"Other sources of help, specify",Categorical,"0, 1",0=Not marked; 1=Marked
ee_b03_98,Who helped: refusal,Categorical,"0, 1",0=Not marked; 1=Marked
ee_b03_99,Who helped: don't know,Categorical,"0, 1",0=Not marked; 1=Marked
ee_b04,Sufficiency of help,Categorical,"1, 2, 98, 99","1=Yes; 2=No, more help could be received; 98=Refusal; 99=Don't know"
ee_b05_1,Help needed: social worker,Categorical,"0, 1",0=Not marked; 1=Marked
ee_b05_2,Help needed: support group,Categorical,"0, 1",0=Not marked; 1=Marked
ee_b05_3,Help needed: Memory Cafe,Categorical,"0, 1",0=Not marked; 1=Marked
ee_b05_4,Help needed: personal counseling service,Categorical,"0, 1",0=Not marked; 1=Marked
ee_b05_5,Help needed: family doctor or family nurse,Categorical,"0, 1",0=Not marked; 1=Marked
ee_b05_6,Help needed: books or leaflets,Categorical,"0, 1",0=Not marked; 1=Marked
ee_b05_7,Help needed: Internet,Categorical,"0, 1",0=Not marked; 1=Marked
ee_b05_81,Help needed: day center day care service,Categorical,"0, 1",0=Not marked; 1=Marked
ee_b05_82,Help needed support person for families,Categorical,"0, 1",0=Not marked; 1=Marked
ee_b05_83,Help needed: support person service,Categorical,"0, 1",0=Not marked; 1=Marked
ee_b05_84,Help needed: home service,Categorical,"0, 1",0=Not marked; 1=Marked
ee_b05_85,Help needed: interval care,Categorical,"0, 1",0=Not marked; 1=Marked
ee_b05_9,Help needed: family members or friends: experience counseling,Categorical,"0, 1",0=Not marked; 1=Marked
ee_b05_10,Help needed: family members or friends: help with activities,Categorical,"0, 1",0=Not marked; 1=Marked
ee_b05_11,Help needed: service of a nursing home or in-patient nursing care,Categorical,"0, 1",0=Not marked; 1=Marked
ee_b05_12,Help needed: medicines,Categorical,"0, 1",0=Not marked; 1=Marked
ee_b05_13,"Help needed: other, please specify",Categorical,"0, 1",0=Not marked; 1=Marked
ee_b05_98,Help needed: refusal,Categorical,"0, 1",0=Not marked; 1=Marked
ee_b05_99,Help needed: don't know,Categorical,"0, 1",0=Not marked; 1=Marked
ee_b06_1,Reason no help: not needed/wanted,Categorical,"0, 1",0=Not marked; 1=Marked
ee_b06_2,Reason no help: economic reasons,Categorical,"0, 1",0=Not marked; 1=Marked
ee_b06_3,Reason no help: too busy,Categorical,"0, 1",0=Not marked; 1=Marked
ee_b06_4,Reason no help: no information,Categorical,"0, 1",0=Not marked; 1=Marked
ee_b06_5,Reason no help: activity limitations,Categorical,"0, 1",0=Not marked; 1=Marked
ee_b06_6,Reason no help: lack of aid devices,Categorical,"0, 1",0=Not marked; 1=Marked
ee_b06_7,Reason no help: lack of personal helper,Categorical,"0, 1",0=Not marked; 1=Marked
ee_b06_8,Reason no help: bad health,Categorical,"0, 1",0=Not marked; 1=Marked
ee_b06_9,Reason no help: lack of skills,Categorical,"0, 1",0=Not marked; 1=Marked
ee_b06_10,Reason no help: diff. with accessing help provider,Categorical,"0, 1",0=Not marked; 1=Marked
ee_b06_11,Reason no help: no one wants to help,Categorical,"0, 1",0=Not marked; 1=Marked
ee_b06_12,Reason no help: shame to find help,Categorical,"0, 1",0=Not marked; 1=Marked
ee_b06_13,Reason no help: don't want to be burden,Categorical,"0, 1",0=Not marked; 1=Marked
ee_b06_14,Reason no help: don't believe in help,Categorical,"0, 1",0=Not marked; 1=Marked
ee_b06_15,"Reason no help: other, please specify",Categorical,"0, 1",0=Not marked; 1=Marked
ee_b06_98,Reason no help: refusal,Categorical,"0, 1",0=Not marked; 1=Marked
ee_b06_99,Reason no help: don't know,Categorical,"0, 1",0=Not marked; 1=Marked
ee_b07_1,"Risk of sickness: no, not that old",Categorical,"0, 1",0=Not marked; 1=Marked
ee_b07_2,"Risk of sickness: no, don't think so",Categorical,"0, 1",0=Not marked; 1=Marked
ee_b07_3,"Risk of sickness: yes, threat for everyone",Categorical,"0, 1",0=Not marked; 1=Marked
ee_b07_4,"Risk of sickness: yes, genetic predisposition",Categorical,"0, 1",0=Not marked; 1=Marked
ee_b07_5,"Risk of sickness: yes, noticed signs",Categorical,"0, 1",0=Not marked; 1=Marked
ee_b07_98,Risk of sickness: refusal,Categorical,"0, 1",0=Not marked; 1=Marked
ee_b07_99,Risk of sickness: don't know,Categorical,"0, 1",0=Not marked; 1=Marked
ee_b07_5_specify_cod,Specification of signs of development mild cognitive impairment or dementia - co,Categorical,"1, 2","1=bad memory, worthier memory, forget something; 2=other"
ee_b08_1,"Prevention: no, can't be avoided",Categorical,"0, 1",0=Not marked; 1=Marked
ee_b08_2,"Prevention: no, not necessary",Categorical,"0, 1",0=Not marked; 1=Marked
ee_b08_3,"Prevention: no, don't know how",Categorical,"0, 1",0=Not marked; 1=Marked
ee_b08_4,"Prevention: no, not feasible",Categorical,"0, 1",0=Not marked; 1=Marked
ee_b08_5,"Prevention: no, no time",Categorical,"0, 1",0=Not marked; 1=Marked
ee_b08_6,"Prevention: no, activity limitations",Categorical,"0, 1",0=Not marked; 1=Marked
ee_b08_7,"Prevention: no, no aids available",Categorical,"0, 1",0=Not marked; 1=Marked
ee_b08_8,"Prevention: no, bad health",Categorical,"0, 1",0=Not marked; 1=Marked
ee_b08_9,"Prevention: yes, physically active",Categorical,"0, 1",0=Not marked; 1=Marked
ee_b08_10,"Prevention: yes, solving crosswords",Categorical,"0, 1",0=Not marked; 1=Marked
ee_b08_11,"Prevention: yes, brain stimulating tasks",Categorical,"0, 1",0=Not marked; 1=Marked
ee_b08_12,"Prevention: yes, communication",Categorical,"0, 1",0=Not marked; 1=Marked
ee_b08_13,"Prevention: yes, sleep",Categorical,"0, 1",0=Not marked; 1=Marked
ee_b08_14,"Prevention: yes, conscious nutrition",Categorical,"0, 1",0=Not marked; 1=Marked
ee_b08_15,"Prevention: yes, medicine",Categorical,"0, 1",0=Not marked; 1=Marked
ee_b08_16,"Prevention: yes, food supplements",Categorical,"0, 1",0=Not marked; 1=Marked
ee_b08_98,Prevention: refusal,Categorical,"0, 1",0=Not marked; 1=Marked
ee_b08_99,Prevention: don't know,Categorical,"0, 1",0=Not marked; 1=Marked
ee_b08_11_specify_cod,Specification of other brain stimulating tasks - coded,Categorical,"1, 2, 3, 4, 5","1=sudoku, crosswords, other (computer) games; 2=Reading; 3=Handwork; 4=Working/studying related; 5=Other"
ee_b09,Consent for linking,Categorical,"1, 2","1=Yes, agreed; 2=No, didn't agreed"
fi_i01_1,employment status,Categorical,"1, 2, 3, 4","1=Does not concern me, since I am already retired; 2=I plan to take part-time retirement in (year); 3=I plan to take full retirement in (year); 4=I have not been planning this or cannot say"
fi_i01_2,employment status again if two ticks in q1,Categorical,"1, 2, 3, 4","1=Does not concern me, since I am already retired; 2=I plan to take part-time retirement in (year); 3=I plan to take full retirement in (year); 4=I have not been planning this or cannot say"
fi_i01_3,year of part time retirement,Numeric,,
fi_i01_4,year of full retirement,Numeric,,
fi_i02,working capacity 0-10,Numeric,,
fi_i03,desired age of retirement,Numeric,,
fi_i04,amount of employment,Categorical,"1, 2, 3, 4, 5",1=I would like to do wage work much more; 2=I would like to do wage work somewhat more; 3=The current situation suits me; 4=I would like to do wage work slightly less; 5=I would like to do wage work much less
fi_i05,amount of age discrimination,Categorical,"1, 2, 3, 4, 5",1=Not at all; 2=Only a little; 3=To some extent; 4=Quite a lot; 5=Very much
fi_i06,need for rehabilitation,Categorical,"1, 5",1=Yes; 5=No
fi_i07_1,physical rehab,Categorical,"1, 5",1=Yes; 5=No
fi_i07_2,mental rehab,Categorical,"1, 5",1=Yes; 5=No
fi_i07_3,professional rehab,Categorical,"1, 5",1=Yes; 5=No
fi_i08,participated in rehabilitation,Categorical,"1, 5",1=Yes; 5=No
fi_i09,currently retired?,Categorical,"1, 5",1=Yes; 5=No
fi_i10,progressive ageing work force,Categorical,"1, 2, 3, 4, 5, 6",1=Very much; 2=To some extent; 3=Only a little; 4=Not at all; 5=On the contrary; 6=Not applicable
fi_i11,apply disability pension or similar,Categorical,"1, 2, 3, 4",1=I have not considered applying for pension; 2=Applying for pension has crossed my mind; 3=I have seriously considered applying for pension; 4=I have applied for pension
fi_i12,currently caregiver,Categorical,"1, 5",1=Yes; 5=No
fi_i13_1,caregiver for partner,Categorical,"1, 3, 5, 7",1=Yes; 3=Maybe; 5=No; 7=Not applicable
fi_i13_2,caregiver for parent,Categorical,"1, 3, 5, 7",1=Yes; 3=Maybe; 5=No; 7=Not applicable
fi_i13_3,caregiver for child,Categorical,"1, 3, 5, 7",1=Yes; 3=Maybe; 5=No; 7=Not applicable
fi_i13_4,caregiver for other relative,Categorical,"1, 3, 5, 7",1=Yes; 3=Maybe; 5=No; 7=Not applicable
fi_i13_5,caregiver for friend,Categorical,"1, 3, 5, 7",1=Yes; 3=Maybe; 5=No; 7=Not applicable
fi_i14_1,financial uncertainty,Categorical,"1, 2, 3, 4, 5, 6, 7, 8","1=Financial resources; 2=Time resources; 3=Combining caregiving and paid work; 4=My mental or physical well-being; 5=Long term committment; 6=Caregiver tasks feel/seem unpleasant; 7=Other, what? (open answers not in public release); 8=None of the above"
fi_i14_2,time consumption,Categorical,"1, 2, 3, 4, 5, 6, 7, 8","1=Financial resources; 2=Time resources; 3=Combining caregiving and paid work; 4=My mental or physical well-being; 5=Long term committment; 6=Caregiver tasks feel/seem unpleasant; 7=Other, what? (open answers not in public release); 8=None of the above"
fi_i14_3,caregiver work life balance,Categorical,"1, 2, 3, 4, 5, 6, 7, 8","1=Financial resources; 2=Time resources; 3=Combining caregiving and paid work; 4=My mental or physical well-being; 5=Long term committment; 6=Caregiver tasks feel/seem unpleasant; 7=Other, what? (open answers not in public release); 8=None of the above"
fi_i14_4,personal strength,Categorical,"1, 2, 3, 4, 5, 6, 7, 8","1=Financial resources; 2=Time resources; 3=Combining caregiving and paid work; 4=My mental or physical well-being; 5=Long term committment; 6=Caregiver tasks feel/seem unpleasant; 7=Other, what? (open answers not in public release); 8=None of the above"
fi_i14_5,long term commitment,Categorical,"1, 2, 3, 4, 5, 6, 7, 8","1=Financial resources; 2=Time resources; 3=Combining caregiving and paid work; 4=My mental or physical well-being; 5=Long term committment; 6=Caregiver tasks feel/seem unpleasant; 7=Other, what? (open answers not in public release); 8=None of the above"
fi_i14_6,unpleasant nature,Categorical,"1, 2, 3, 4, 5, 6, 7, 8","1=Financial resources; 2=Time resources; 3=Combining caregiving and paid work; 4=My mental or physical well-being; 5=Long term committment; 6=Caregiver tasks feel/seem unpleasant; 7=Other, what? (open answers not in public release); 8=None of the above"
fi_i14_7,other,Categorical,"1, 2, 3, 4, 5, 6, 7, 8","1=Financial resources; 2=Time resources; 3=Combining caregiving and paid work; 4=My mental or physical well-being; 5=Long term committment; 6=Caregiver tasks feel/seem unpleasant; 7=Other, what? (open answers not in public release); 8=None of the above"
fi_i14_8,none,Categorical,"1, 2, 3, 4, 5, 6, 7, 8","1=Financial resources; 2=Time resources; 3=Combining caregiving and paid work; 4=My mental or physical well-being; 5=Long term committment; 6=Caregiver tasks feel/seem unpleasant; 7=Other, what? (open answers not in public release); 8=None of the above"
fi_i15,fear of violence,Categorical,"1, 2, 3, 4, 5",1=All or most of the time; 2=Some of the time; 3=Just occasionally; 4=Never; 5=Don't know
fi_i16,fear impacting life quality,Categorical,"1, 2, 3",1=Serious effect; 2=Some effect; 3=No real effect
fi_i17_1,communication to one another,Categorical,"-1, 0, 1, 2, 3",-1=Cannot say; 0=Strongly agree; 1=Somewhat agree; 2=Somewhat disagree; 3=Strongly disagree
fi_i17_2,understading,Categorical,"-1, 0, 1, 2, 3",-1=Cannot say; 0=Strongly agree; 1=Somewhat agree; 2=Somewhat disagree; 3=Strongly disagree
fi_i17_3,physical closeness,Categorical,"-1, 0, 1, 2, 3",-1=Cannot say; 0=Strongly agree; 1=Somewhat agree; 2=Somewhat disagree; 3=Strongly disagree
fi_i17_4,partner appreciates,Categorical,"-1, 0, 1, 2, 3",-1=Cannot say; 0=Strongly agree; 1=Somewhat agree; 2=Somewhat disagree; 3=Strongly disagree
fi_i17_5,love for one another,Categorical,"-1, 0, 1, 2, 3",-1=Cannot say; 0=Strongly agree; 1=Somewhat agree; 2=Somewhat disagree; 3=Strongly disagree
fi_i17_6,feeling of togetherness,Categorical,"-1, 0, 1, 2, 3",-1=Cannot say; 0=Strongly agree; 1=Somewhat agree; 2=Somewhat disagree; 3=Strongly disagree
fi_i17_7,support from partner,Categorical,"-1, 0, 1, 2, 3",-1=Cannot say; 0=Strongly agree; 1=Somewhat agree; 2=Somewhat disagree; 3=Strongly disagree
fi_i17_8,thinking about breakup,Categorical,"-1, 0, 1, 2, 3",-1=Cannot say; 0=Strongly agree; 1=Somewhat agree; 2=Somewhat disagree; 3=Strongly disagree
fi_i17_9,satisfaction economic issues,Categorical,"-1, 0, 1, 2, 3",-1=Cannot say; 0=Strongly agree; 1=Somewhat agree; 2=Somewhat disagree; 3=Strongly disagree
fi_i17_10,satisfaction time spent together,Categorical,"-1, 0, 1, 2, 3",-1=Cannot say; 0=Strongly agree; 1=Somewhat agree; 2=Somewhat disagree; 3=Strongly disagree
fi_i18_1,fight chores,Categorical,"-1, 0, 1, 2, 3, 4",-1=Not applicable or cannot say; 0=Never; 1=Seldom; 2=A few times; 3=Quite often; 4=Often
fi_i18_2,fight money,Categorical,"-1, 0, 1, 2, 3, 4",-1=Not applicable or cannot say; 0=Never; 1=Seldom; 2=A few times; 3=Quite often; 4=Often
fi_i18_3,fight free time,Categorical,"-1, 0, 1, 2, 3, 4",-1=Not applicable or cannot say; 0=Never; 1=Seldom; 2=A few times; 3=Quite often; 4=Often
fi_i18_4,fight sexual life,Categorical,"-1, 0, 1, 2, 3, 4",-1=Not applicable or cannot say; 0=Never; 1=Seldom; 2=A few times; 3=Quite often; 4=Often
fi_i18_5,fight unfaithfulness or jealousy,Categorical,"-1, 0, 1, 2, 3, 4",-1=Not applicable or cannot say; 0=Never; 1=Seldom; 2=A few times; 3=Quite often; 4=Often
fi_i18_6,fight friends,Categorical,"-1, 0, 1, 2, 3, 4",-1=Not applicable or cannot say; 0=Never; 1=Seldom; 2=A few times; 3=Quite often; 4=Often
fi_i18_7,fight children,Categorical,"-1, 0, 1, 2, 3, 4",-1=Not applicable or cannot say; 0=Never; 1=Seldom; 2=A few times; 3=Quite often; 4=Often
fi_i18_8,fight my relatives,Categorical,"-1, 0, 1, 2, 3, 4",-1=Not applicable or cannot say; 0=Never; 1=Seldom; 2=A few times; 3=Quite often; 4=Often
fi_i18_9,fight partner's relatives,Categorical,"-1, 0, 1, 2, 3, 4",-1=Not applicable or cannot say; 0=Never; 1=Seldom; 2=A few times; 3=Quite often; 4=Often
fi_i18_10,fight divorce or blended families,Categorical,"-1, 0, 1, 2, 3, 4",-1=Not applicable or cannot say; 0=Never; 1=Seldom; 2=A few times; 3=Quite often; 4=Often
fi_i18_11,fight alcohol or substances,Categorical,"-1, 0, 1, 2, 3, 4",-1=Not applicable or cannot say; 0=Never; 1=Seldom; 2=A few times; 3=Quite often; 4=Often
fi_i18_12,fight own work,Categorical,"-1, 0, 1, 2, 3, 4",-1=Not applicable or cannot say; 0=Never; 1=Seldom; 2=A few times; 3=Quite often; 4=Often
fi_i18_13,fight partner's work,Categorical,"-1, 0, 1, 2, 3, 4",-1=Not applicable or cannot say; 0=Never; 1=Seldom; 2=A few times; 3=Quite often; 4=Often
fi_i18_14,fight own retirement,Categorical,"-1, 0, 1, 2, 3, 4",-1=Not applicable or cannot say; 0=Never; 1=Seldom; 2=A few times; 3=Quite often; 4=Often
fi_i18_15,fight partner's retirement,Categorical,"-1, 0, 1, 2, 3, 4",-1=Not applicable or cannot say; 0=Never; 1=Seldom; 2=A few times; 3=Quite often; 4=Often
fr_do01_ald,Health care expenditure fully covered by the National Health Fund (ALD scheme),Categorical,"1, 5, 99",1=Yes; 5=No; 99=Don't know
fr_do02_sup,Supplementary health insurance (SHI),Categorical,"1, 5, 99",1=Yes; 5=No; 99=Don't know
fr_do03_emp,SHI provided by employer,Categorical,"1, 2, 5, 99","1=Yes, w/ financial contribution from the employer; 2=Yes, wo/ financial contribution from the employer; 5=No; 99=Don't know"
fr_do04_css,Free/Subsidized supplementary health insurance coverage (CSS),Categorical,"1, 2, 5, 99","1=Yes, for free; 2=Yes, with financial contribution; 5=No; 99=Don't know"
fr_do05_CMUCpast,Last 5 years - Free SHI coverage (CMUC),Categorical,"0, 1",0=Not selected; 1=Selected
fr_do05_ACSpast,Last 5 years - Subsidized SHI suscription (ACS),Categorical,"0, 1",0=Not selected; 1=Selected
fr_do05_CSSpast,Last 5 years - Free/Subsidized SHI coverage (CSS),Categorical,"0, 1",0=Not selected; 1=Selected
fr_do05_SHIcollpast,Last 5 years - Collective SHI,Categorical,"0, 1",0=Not selected; 1=Selected
fr_do05_SHIindivpast,Last 5 years - Individual SHI,Categorical,"0, 1",0=Not selected; 1=Selected
fr_do05_SHInopast,Last 5 years - No SHI at all,Categorical,"0, 1",0=Not selected; 1=Selected
